Fri 12 Jul 2024 05:25:52 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=126 ttl=255 time=13.3 ms
Fri 12 Jul 2024 05:25:53 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=127 ttl=255 time=16.7 ms
Fri 12 Jul 2024 05:25:54 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=128 ttl=255 time=10.1 ms
Fri 12 Jul 2024 05:25:55 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=129 ttl=255 time=18.7 ms
Fri 12 Jul 2024 05:25:56 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=130 ttl=255 time=21.5 ms
Fri 12 Jul 2024 05:25:57 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=131 ttl=255 time=10.7 ms
Fri 12 Jul 2024 05:25:58 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=132 ttl=255 time=7.94 ms
Fri 12 Jul 2024 05:25:59 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=133 ttl=255 time=16.9 ms
Fri 12 Jul 2024 05:26:00 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=134 ttl=255 time=16.8 ms
Fri 12 Jul 2024 05:26:01 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=135 ttl=255 time=12.2 ms
Fri 12 Jul 2024 05:26:02 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=136 ttl=255 time=20.8 ms
Fri 12 Jul 2024 05:26:03 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=137 ttl=255 time=9.09 ms
Fri 12 Jul 2024 05:26:04 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=138 ttl=255 time=4.22 ms
Fri 12 Jul 2024 05:26:05 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=139 ttl=255 time=5.33 ms
Fri 12 Jul 2024 05:26:06 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=140 ttl=255 time=5.11 ms
Fri 12 Jul 2024 05:26:07 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=141 ttl=255 time=32.0 ms
Fri 12 Jul 2024 05:26:08 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=142 ttl=255 time=5.56 ms
Fri 12 Jul 2024 05:26:09 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=143 ttl=255 time=5.61 ms
Fri 12 Jul 2024 05:26:10 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=144 ttl=255 time=7.05 ms
Fri 12 Jul 2024 05:26:11 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=145 ttl=255 time=12.1 ms
Fri 12 Jul 2024 05:26:12 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=146 ttl=255 time=9.77 ms
Fri 12 Jul 2024 05:26:13 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=147 ttl=255 time=39.9 ms
Fri 12 Jul 2024 05:26:14 PM CST signal:-61 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=148 ttl=255 time=6.88 ms
